Time Series 1,Time Series 2,Time Series 3,Time Series 4,Time Series 5,Time Series 6,Time Series 7,Time Series 8
-2.317006868707824005e-02,-9.997269686452906479e-01,-6.903201509259997426e-01,-3.608538654456817096e-01,-1.719503797332602446e-01,-7.455291742066240401e-02,-2.513323643634286786e-02,-7.854962696655806665e-04
-2.395534693276516261e-02,-9.997083060154068335e-01,-6.897516282397990750e-01,-3.601211827276478150e-01,-1.711765299026838105e-01,-7.376958414112992635e-02,-2.434798054318304539e-02,-2.508271368384385139e-16
-2.474061039789558769e-02,-9.996890265610141046e-01,-6.891826799737496012e-01,-3.593882778132289624e-01,-1.704025744554207300e-01,-7.298620534543324989e-02,-2.356270962720986503e-02,4.174438572590588602e-17
-2.552585859795843473e-02,-9.996691302940090562e-01,-6.886133064788957370e-01,-3.586551511546307580e-01,-1.696285138690051542e-01,-7.220278151692055557e-02,-2.277742417293914662e-02,7.854962696655183249e-04
-2.631109104845196986e-02,-9.996486172266674242e-01,-6.880435081065440217e-01,-3.579218032041959763e-01,-1.688543486210357936e-01,-7.141931313896791866e-02,-2.199212466489546339e-02,1.570992054676223840e-03
-2.709630726488430896e-02,-9.996274873716454179e-01,-6.874732852082615642e-01,-3.571882344144032828e-01,-1.680800791891760015e-01,-7.063580069497880920e-02,-2.120681158761255486e-02,2.356486870377766472e-03
-2.788150676277436485e-02,-9.996057407419801644e-01,-6.869026381358790401e-01,-3.564544452378677897e-01,-1.673057060511532468e-01,-6.985224466838357849e-02,-2.042148542563156435e-02,3.141980232116426720e-03
-2.866668905764889821e-02,-9.995833773510904852e-01,-6.863315672414884716e-01,-3.557204361273413329e-01,-1.665312296847590301e-01,-6.906864554264040279e-02,-1.963614666350264187e-02,3.927471655239271782e-03
-2.945185366504780855e-02,-9.995603972127737880e-01,-6.857600728774421173e-01,-3.549862075357102520e-01,-1.657566505678499669e-01,-6.828500380123306290e-02,-1.885079578578295612e-02,4.712960655094286522e-03
-3.023700010052093531e-02,-9.995368003412089530e-01,-6.851881553963552474e-01,-3.542517599159971109e-01,-1.649819691783440401e-01,-6.750131992767209599e-02,-1.806543327703789489e-02,5.498446747031508416e-03
-3.102212787962935550e-02,-9.995125867509552231e-01,-6.846158151511044787e-01,-3.535170937213586440e-01,-1.642071859942232370e-01,-6.671759440549412945e-02,-1.728005962183947961e-02,6.283929446402374865e-03
-3.180723651794577223e-02,-9.994877564569535355e-01,-6.840430524948244440e-01,-3.527822094050884760e-01,-1.634323014935322449e-01,-6.593382771826114541e-02,-1.649467530476675381e-02,7.069408268560672948e-03
-3.259232553105461533e-02,-9.994623094745235248e-01,-6.834698677809138978e-01,-3.520471074206130702e-01,-1.626573161543784229e-01,-6.515002034956068888e-02,-1.570928081040522117e-02,7.854882728862484786e-03
-3.337739443455231547e-02,-9.994362458193657428e-01,-6.828962613630297218e-01,-3.513117882214936150e-01,-1.618822304549310531e-01,-6.436617278300552081e-02,-1.492387662334693221e-02,8.640352342666204888e-03
-3.416244274404798414e-02,-9.994095655075623252e-01,-6.823222335950887008e-01,-3.505762522614253029e-01,-1.611070448734213123e-01,-6.358228550223313236e-02,-1.413846322819030041e-02,9.425816625334025936e-03
-3.494746997516343795e-02,-9.993822685555746599e-01,-6.817477848312702982e-01,-3.498404999942366089e-01,-1.603317598881422446e-01,-6.279835899090535634e-02,-1.335304110953801707e-02,1.021127509223042178e-02
-3.573247564353309452e-02,-9.993543549802453851e-01,-6.811729154260105501e-01,-3.491045318738908443e-01,-1.595563759774484558e-01,-6.201439373270845046e-02,-1.256761075199979219e-02,1.099672725872436613e-02
-3.651745926480520071e-02,-9.993258247987970577e-01,-6.805976257340069502e-01,-3.483683483544829929e-01,-1.587808936197548371e-01,-6.123039021135243121e-02,-1.178217264018920248e-02,1.178217264018839062e-02
-3.730242035464087502e-02,-9.992966780288325968e-01,-6.800219161102163401e-01,-3.476319498902420979e-01,-1.580053132935380356e-01,-6.044634891057115711e-02,-1.099672725872505134e-02,1.256761075199896993e-02
-3.808735842871613375e-02,-9.992669146883368381e-01,-6.794457869098535774e-01,-3.468953369355289307e-01,-1.572296354773342064e-01,-5.966227031412141973e-02,-1.021127509223126312e-02,1.335304110953736655e-02
-3.887227300272017017e-02,-9.992365347956728705e-01,-6.788692384883935338e-01,-3.461585099448370451e-01,-1.564538606497403173e-01,-5.887815490578349881e-02,-9.425816625334693805e-03,1.413846322818950244e-02
-3.965716359235755412e-02,-9.992055383695851445e-01,-6.782922712015680977e-01,-3.454214693727919450e-01,-1.556779892894124828e-01,-5.809400316935971892e-02,-8.640352342667058372e-03,1.492387662334647772e-02
-4.044202971334714958e-02,-9.991739254291993610e-01,-6.777148854053697269e-01,-3.446842156741514174e-01,-1.549020218750670752e-01,-5.730981558867550424e-02,-7.854882728863303576e-03,1.570928081040461055e-02
-4.122687088142354406e-02,-9.991416959940208065e-01,-6.771370814560473406e-01,-3.439467493038037560e-01,-1.541259588854795859e-01,-5.652559264757819196e-02,-7.069408268561624444e-03,1.649467530476621605e-02
-4.201168661233514734e-02,-9.991088500839340192e-01,-6.765588597101092061e-01,-3.432090707167692045e-01,-1.533498007994842094e-01,-5.574133482993572086e-02,-6.283929446403301207e-03,1.728005962183893490e-02
-4.279647642184771644e-02,-9.990753877192066756e-01,-6.759802205243201634e-01,-3.424711803681987909e-01,-1.525735480959740376e-01,-5.495704261964045462e-02,-5.498446747032435626e-03,1.806543327703750285e-02
-4.358123982574261396e-02,-9.990413089204839281e-01,-6.754011642557031792e-01,-3.417330787133743275e-01,-1.517972012539001991e-01,-5.417271650060344335e-02,-4.712960655095320417e-03,1.885079578578249815e-02
-4.436597633981681499e-02,-9.990066137087931786e-01,-6.748216912615393470e-01,-3.409947662077075781e-01,-1.510207607522726092e-01,-5.338835695675757387e-02,-3.927471655240302208e-03,1.963614666350211452e-02
-4.515068547988459330e-02,-9.989713021055414144e-01,-6.742418018993651119e-01,-3.402562433067408132e-01,-1.502442270701583593e-01,-5.260396447205602233e-02,-3.141980232117484902e-03,2.042148542563122435e-02
-4.593536676177700784e-02,-9.989353741325158742e-01,-6.736614965269753785e-01,-3.395175104661460330e-01,-1.494676006866823559e-01,-5.181953953047242073e-02,-2.356486870378728810e-03,2.120681158761210036e-02
-4.672001970134220805e-02,-9.988988298118851583e-01,-6.730807755024209582e-01,-3.387785681417245232e-01,-1.486908820810260989e-01,-5.103508261600059326e-02,-1.570992054677243207e-03,2.199212466489512338e-02
-4.750464381444585021e-02,-9.988616691661956759e-01,-6.724996391840092347e-01,-3.380394167894068547e-01,-1.479140717324285703e-01,-5.025059421265354320e-02,-7.854962696656089642e-04,2.277742417293876498e-02
-4.828923861697095171e-02,-9.988238922183767521e-01,-6.719180879303047194e-01,-3.373000568652532172e-01,-1.471371701201856785e-01,-4.946607480446475746e-02,-2.924327446862662213e-16,2.356270962720943135e-02
-4.907380362481929270e-02,-9.987854989917369641e-01,-6.713361221001257206e-01,-3.365604888254517535e-01,-1.463601777236490098e-01,-4.868152487548598611e-02,1.251776460264864033e-17,2.434798054318259783e-02
-4.985833835391079855e-02,-9.987464895099644746e-01,-6.707537420525495619e-01,-3.358207131263192258e-01,-1.455830950222261333e-01,-4.789694490978795016e-02,7.854962696654757158e-04,2.513323643634255214e-02
-5.064284232018380350e-02,-9.987068637971296958e-01,-6.701709481469053653e-01,-3.350807302243009045e-01,-1.448059224953808510e-01,-4.711233539146024440e-02,1.570992054676183724e-03,2.591847682218279686e-02
-5.142731503959618866e-02,-9.986666218776801829e-01,-6.695877407427807126e-01,-3.343405405759685145e-01,-1.440286606226317545e-01,-4.632769680461015782e-02,2.356486870377691445e-03,2.670370121620666698e-02
-5.221175602812456323e-02,-9.986257637764465178e-01,-6.690041202000170939e-01,-3.336001446380236213e-01,-1.432513098835532517e-01,-4.554302963336353399e-02,3.141980232116414144e-03,2.748890913392739929e-02
-5.299616480176497224e-02,-9.985842895186377577e-01,-6.684200868787114613e-01,-3.328595428672936340e-01,-1.424738707577741792e-01,-4.475833436186340414e-02,3.927471655239211067e-03,2.827410009086765014e-02
-5.378054087653438842e-02,-9.985421991298439881e-01,-6.678356411392140091e-01,-3.321187357207325830e-01,-1.416963437249776359e-01,-4.397361147427002875e-02,4.712960655094258766e-03,2.905927360256141401e-02
-5.456488376846858890e-02,-9.984994926360346579e-01,-6.672507833421310597e-01,-3.313777236554219519e-01,-1.409187292649017043e-01,-4.318886145476130006e-02,5.498446747031437293e-03,2.984442918455300353e-02
-5.534919299362542344e-02,-9.984561700635607995e-01,-6.666655138483218446e-01,-3.306365071285697343e-01,-1.401410278573377577e-01,-4.240408478753114607e-02,6.283929446402361854e-03,3.062956635239796541e-02
-5.613346806808156009e-02,-9.984122314391513653e-01,-6.660798330189009464e-01,-3.298950865975097124e-01,-1.393632399821309320e-01,-4.161928195679056447e-02,7.069408268560633049e-03,3.141468462166307346e-02
-5.691770850793594766e-02,-9.983676767899178905e-01,-6.654937412152357457e-01,-3.291534625197019004e-01,-1.385853661191795150e-01,-4.083445344676652627e-02,7.854882728862425806e-03,3.219978350792696703e-02
-5.770191382930909413e-02,-9.983225061433507186e-01,-6.649072387989479749e-01,-3.284116353527314347e-01,-1.378074067484362508e-01,-4.004959974170147624e-02,8.640352342666152846e-03,3.298486252677980402e-02
-5.848608354834246986e-02,-9.982767195273196670e-01,-6.643203261319114983e-01,-3.276696055543090735e-01,-1.370293623499053426e-01,-3.926472132585395042e-02,9.425816625333961751e-03,3.376992119382465907e-02
-5.927021718120012439e-02,-9.982303169700751377e-01,-6.637330035762541991e-01,-3.269273735822698090e-01,-1.362512334036429795e-01,-3.847981868349702878e-02,1.021127509223036627e-02,3.455495902467681235e-02
-6.005431424406794394e-02,-9.981832985002486724e-01,-6.631452714943574245e-01,-3.261849398945755318e-01,-1.354730203897586138e-01,-3.769489229891941767e-02,1.099672725872439909e-02,3.533997553496420058e-02
-6.083837425315440084e-02,-9.981356641468502877e-01,-6.625571302488544312e-01,-3.254423049493105347e-01,-1.346947237884132120e-01,-3.690994265642456168e-02,1.178217264018831430e-02,3.612497024032835374e-02
-6.162239672469122659e-02,-9.980874139392699185e-01,-6.619685802026292754e-01,-3.246994692046838438e-01,-1.339163440798189220e-01,-3.612497024032912396e-02,1.256761075199891962e-02,3.690994265642356942e-02
-6.240638117493289838e-02,-9.980385479072795274e-01,-6.613796217188228077e-01,-3.239564331190285529e-01,-1.331378817442398499e-01,-3.533997553496511651e-02,1.335304110953731450e-02,3.769489229891884174e-02
-6.319032712015756892e-02,-9.979890660810291081e-01,-6.607902551608219044e-01,-3.232131971508007684e-01,-1.323593372619906172e-01,-3.455495902467763808e-02,1.413846322818945907e-02,3.847981868349626550e-02
-6.397423407666667783e-02,-9.979389684910494607e-01,-6.602004808922714574e-01,-3.224697617585809972e-01,-1.315807111134368601e-01,-3.376992119382581786e-02,1.492387662334642047e-02,3.926472132585317326e-02
-6.475810156078683211e-02,-9.978882551682495272e-01,-6.596102992770624951e-01,-3.217261274010721483e-01,-1.308020037789940360e-01,-3.298486252678090730e-02,1.570928081040453769e-02,4.004959974170084480e-02
-6.554192908886762037e-02,-9.978369261439214988e-01,-6.590197106793411752e-01,-3.209822945370995884e-01,-1.300232157391282284e-01,-3.219978350792801480e-02,1.649467530476616053e-02,4.083445344676596422e-02
-6.632571617728447166e-02,-9.977849814497355974e-01,-6.584287154635031225e-01,-3.202382636256119741e-01,-1.292443474743555643e-01,-3.141468462166428777e-02,1.728005962183892102e-02,4.161928195679003017e-02
-6.710946234243699016e-02,-9.977324211177399649e-01,-6.578373139941938730e-01,-3.194940351256789213e-01,-1.284653994652402154e-01,-3.062956635239892644e-02,1.806543327703746121e-02,4.240408478753051463e-02
-6.789316710075009309e-02,-9.976792451803668804e-01,-6.572455066363117604e-01,-3.187496094964937798e-01,-1.276863721923978401e-01,-2.984442918455416580e-02,1.885079578578244264e-02,4.318886145476073801e-02
-6.867682996867456591e-02,-9.976254536704242115e-01,-6.566532937550050297e-01,-3.180049871973701925e-01,-1.269072661364907539e-01,-2.905927360256245831e-02,1.963614666350200003e-02,4.397361147426945283e-02
-6.946045046268765899e-02,-9.975710466211027416e-01,-6.560606757156705049e-01,-3.172601686877427052e-01,-1.261280817782315100e-01,-2.827410009086782708e-02,2.042148542563119659e-02,4.475833436186264086e-02
-7.024402809929053415e-02,-9.975160240659716182e-01,-6.554676528839565863e-01,-3.165151544271689321e-01,-1.253488195983800679e-01,-2.748890913392762828e-02,2.120681158761207261e-02,4.554302963336283316e-02
-7.102756239501324675e-02,-9.974603860389799070e-01,-6.548742256257616967e-01,-3.157699448753247817e-01,-1.245694800777449318e-01,-2.670370121620712842e-02,2.199212466489509910e-02,4.632769680460964434e-02
-7.181105286641134566e-02,-9.974041325744569253e-01,-6.542803943072326156e-01,-3.150245404920090087e-01,-1.237900636971816654e-01,-2.591847682218318197e-02,2.277742417293870947e-02,4.711233539145985583e-02
-7.259449903006770510e-02,-9.973472637071109093e-01,-6.536861592947658117e-01,-3.142789417371387728e-01,-1.230105709375941270e-01,-2.513323643634287827e-02,2.356270962720940707e-02,4.789694490978757546e-02
-7.337790040259246915e-02,-9.972897794720296805e-01,-6.530915209550073319e-01,-3.135331490707519708e-01,-1.222310022799327212e-01,-2.434798054318308355e-02,2.434798054318252150e-02,4.868152487548550039e-02
-7.416125650062384278e-02,-9.972316799046818669e-01,-6.524964796548505808e-01,-3.127871629530058484e-01,-1.214513582051945789e-01,-2.356270962720988238e-02,2.513323643634249663e-02,4.946607480446434807e-02
-7.494456684082742570e-02,-9.971729650409157930e-01,-6.519010357614399842e-01,-3.120409838441775552e-01,-1.206716391944235162e-01,-2.277742417293919519e-02,2.591847682218279339e-02,5.025059421265306442e-02
-7.572783093989716996e-02,-9.971136349169579249e-01,-6.513051896421666598e-01,-3.112946122046625352e-01,-1.198918457287099365e-01,-2.199212466489549808e-02,2.670370121620664269e-02,5.103508261600005202e-02
-7.651104831455533828e-02,-9.970536895694148694e-01,-6.507089416646705260e-01,-3.105480484949758591e-01,-1.191119782891901652e-01,-2.120681158761255139e-02,2.748890913392736113e-02,5.181953953047215011e-02
-7.729421848155365593e-02,-9.969931290352741504e-01,-6.501122921968387480e-01,-3.098012931757504473e-01,-1.183320373570452971e-01,-2.042148542563158864e-02,2.827410009086762238e-02,5.260396447205553661e-02
-7.807734095767233928e-02,-9.969319533519019894e-01,-6.495152416068076251e-01,-3.090543467077383477e-01,-1.175520234135029457e-01,-1.963614666350268004e-02,2.905927360256137584e-02,5.338835695675733795e-02
-7.886041525972189992e-02,-9.968701625570428604e-01,-6.489177902629585937e-01,-3.083072095518075151e-01,-1.167719369398346335e-01,-1.885079578578295612e-02,2.984442918455297925e-02,5.417271650060325600e-02
-7.964344090454124336e-02,-9.968077566888228214e-01,-6.483199385339235565e-01,-3.075598821689458640e-01,-1.159917784173578048e-01,-1.806543327703797122e-02,3.062956635239792030e-02,5.495704261964027421e-02
-8.042641740900043079e-02,-9.967447357857464052e-01,-6.477216867885779994e-01,-3.068123650202576602e-01,-1.152115483274333413e-01,-1.728005962183950389e-02,3.141468462166304570e-02,5.574133482993566535e-02
-8.120934428999949939e-02,-9.966810998866975080e-01,-6.471230353960474302e-01,-3.060646585669645203e-01,-1.144312471514670887e-01,-1.649467530476677810e-02,3.219978350792689764e-02,5.652559264757710950e-02
-8.199222106446887870e-02,-9.966168490309404993e-01,-6.465239847257013839e-01,-3.053167632704038015e-01,-1.136508753709078445e-01,-1.570928081040525934e-02,3.298486252677980402e-02,5.730981558867458830e-02
-8.277504724937075065e-02,-9.965519832581176685e-01,-6.459245351471573082e-01,-3.045686795920308221e-01,-1.128704334672485932e-01,-1.492387662334698599e-02,3.376992119382460356e-02,5.809400316935869196e-02
-8.355782236169630173e-02,-9.964865026082520005e-01,-6.453246870302782323e-01,-3.038204079934171964e-01,-1.120899219220264226e-01,-1.413846322819031082e-02,3.455495902467677766e-02,5.887815490578239552e-02
-8.434054591847105209e-02,-9.964204071217449554e-01,-6.447244407451727666e-01,-3.030719489362490582e-01,-1.113093412168180696e-01,-1.335304110953808646e-02,3.533997553496414507e-02,5.966227031412059401e-02
-8.512321743675063668e-02,-9.963536968393782445e-01,-6.441237966621964350e-01,-3.023233028823292812e-01,-1.105286918332484269e-01,-1.256761075199974709e-02,3.612497024032835374e-02,6.044634891057018566e-02
-8.590583643362327548e-02,-9.962863718023116100e-01,-6.435227551519490108e-01,-3.015744702935755361e-01,-1.097479742529799962e-01,-1.178217264018923370e-02,3.690994265642350003e-02,6.123039021135150833e-02
-8.668840242620978742e-02,-9.962184320520856007e-01,-6.429213165852742939e-01,-3.008254516320199579e-01,-1.089671889577191743e-01,-1.099672725872510338e-02,3.769489229891884174e-02,6.201439373270748595e-02
-8.747091493166284093e-02,-9.961498776306192404e-01,-6.423194813332652187e-01,-3.000762473598130309e-01,-1.081863364292141999e-01,-1.021127509223132383e-02,3.847981868349621692e-02,6.279835899090446816e-02
-8.825337346716939646e-02,-9.960807085802108052e-01,-6.417172497672543052e-01,-2.993268579392153184e-01,-1.074054171492543203e-01,-9.425816625334697274e-03,3.926472132585315244e-02,6.358228550223203601e-02
-8.903577754994862481e-02,-9.960109249435380452e-01,-6.411146222588232080e-01,-2.985772838326039569e-01,-1.066244315996703884e-01,-8.640352342667110414e-03,4.004959974170081011e-02,6.436617278300459100e-02
-8.981812669725372511e-02,-9.959405267636572967e-01,-6.405115991797943886e-01,-2.978275255024692703e-01,-1.058433802623340164e-01,-7.854882728863346944e-03,4.083445344676592259e-02,6.515002034955970356e-02
-9.060042042637195259e-02,-9.958695140840050364e-01,-6.399081809022367784e-01,-2.970775834114159908e-01,-1.050622636191574366e-01,-7.069408268561692098e-03,4.161928195678998160e-02,6.593382771826020172e-02
-9.138265825462445202e-02,-9.957978869483968820e-01,-6.393043677984606710e-01,-2.963274580221610388e-01,-1.042810821520928355e-01,-6.283929446403339371e-03,4.240408478753051463e-02,6.671759440549339393e-02
-9.216483969936688225e-02,-9.957256454010257052e-01,-6.387001602410232737e-01,-2.955771497975355211e-01,-1.034998363431328533e-01,-5.498446747032446034e-03,4.318886145476068250e-02,6.750131992767138822e-02
-9.294696427798969374e-02,-9.956527894864661832e-01,-6.380955586027222681e-01,-2.948266592004832320e-01,-1.027185266743100150e-01,-4.712960655095329958e-03,4.397361147426938344e-02,6.828500380123229963e-02
-9.372903150791885019e-02,-9.955793192496693589e-01,-6.374905632565999181e-01,-2.940759866940600431e-01,-1.019371536276952456e-01,-3.927471655240337770e-03,4.475833436186262698e-02,6.906864554263980605e-02
-9.451104090661550938e-02,-9.955052347359687470e-01,-6.368851745759415151e-01,-2.933251327414336251e-01,-1.011557176853994794e-01,-3.141980232117512657e-03,4.554302963336283316e-02,6.985224466838295398e-02
-9.529299199157598155e-02,-9.954305359910727846e-01,-6.362793929342730470e-01,-2.925740978058850028e-01,-1.003742193295720647e-01,-2.356486870378847638e-03,4.632769680460963740e-02,7.063580069497803204e-02
-9.607488428033270078e-02,-9.953552230610719365e-01,-6.356732187053659722e-01,-2.918228823508060565e-01,-9.959265904240152678e-02,-1.570992054677244074e-03,4.711233539145983501e-02,7.141931313896728029e-02
-9.685671729045565448e-02,-9.952792959924350313e-01,-6.350666522632323341e-01,-2.910714868396999111e-01,-9.881103730611356939e-02,-7.854962696656388882e-04,4.789694490978754771e-02,7.220278151691994495e-02
-9.763849053954898327e-02,-9.952027548320079298e-01,-6.344596939821262049e-01,-2.903199117361811576e-01,-9.802935460297258763e-02,-3.606281939738664823e-16,4.868152487548547958e-02,7.298620534543252825e-02
-9.842020354525583825e-02,-9.951255996270182980e-01,-6.338523442365431304e-01,-2.895681575039743549e-01,-9.724761141527996089e-02,-1.726396803292118413e-17,4.946607480446431337e-02,7.376958414112920470e-02
-9.920185582525575807e-02,-9.950478304250706119e-01,-6.332446034012209068e-01,-2.888162246069160277e-01,-9.646580822537512145e-02,7.854962696654392866e-04,5.025059421265306442e-02,7.455291742066182115e-02
-9.998344689726569590e-02,-9.949694472741487106e-01,-6.326364718511390262e-01,-2.880641135089517801e-01,-9.568394551563376427e-02,1.570992054676219286e-03,5.103508261599998957e-02,7.533620470070995223e-02
-1.007649762790403941e-01,-9.948904502226162405e-01,-6.320279499615159002e-01,-2.873118246741376280e-01,-9.490202376846919308e-02,2.356486870377708792e-03,5.181953953047212236e-02,7.611944549798174697e-02
-1.015464434883731476e-01,-9.948108393192135468e-01,-6.314190381078133019e-01,-2.865593585666388332e-01,-9.412004346633008611e-02,3.141980232116453175e-03,5.260396447205551579e-02,7.690263932921438672e-02
-1.023278480430946102e-01,-9.947306146130612259e-01,-6.308097366657323679e-01,-2.858067156507307915e-01,-9.333800509170205040e-02,3.927471655239197189e-03,5.338835695675737958e-02,7.768578571117339127e-02
-1.031091894610748488e-01,-9.946497761536591264e-01,-6.302000460112152647e-01,-2.850538963907975898e-01,-9.255590912710628948e-02,4.712960655094272644e-03,5.417271650060318661e-02,7.846888416065464500e-02
-1.038904672602227602e-01,-9.945683239908840179e-01,-6.295899665204431894e-01,-2.843009012513318390e-01,-9.177375605509967282e-02,5.498446747031498008e-03,5.495704261964027421e-02,7.925193419448214871e-02
-1.046716809584865154e-01,-9.944862581749923658e-01,-6.289794985698383689e-01,-2.835477306969348410e-01,-9.099154635827384763e-02,6.283929446402344507e-03,5.574133482993551270e-02,8.003493532951083678e-02
-1.054528300738538371e-01,-9.944035787566195550e-01,-6.283686425360613947e-01,-2.827943851923164220e-01,-9.020928051925600211e-02,7.069408268560597487e-03,5.652559264757701929e-02,8.081788708262567511e-02
